,open,high,low,close,volume,value
2024-03-21 21:58:00,98040000.0,98050000.0,98000000.0,98000000.0,2.64911993,259713959.9951
2024-03-21 21:59:00,98000000.0,98023000.0,97971000.0,97972000.0,2.76957177,271396762.05292
2024-03-21 22:00:00,97990000.0,98023000.0,97972000.0,97976000.0,1.01974544,99927277.23351
2024-03-21 22:01:00,97975000.0,97979000.0,97974000.0,97976000.0,1.97574817,193577115.52557
2024-03-21 22:02:00,97976000.0,98133000.0,97974000.0,98133000.0,3.82182862,374680553.94335
2024-03-21 22:03:00,98133000.0,98137000.0,98050000.0,98120000.0,3.26629968,320369619.45579
2024-03-21 22:04:00,98120000.0,98200000.0,98076000.0,98186000.0,3.93332051,386018279.14704
2024-03-21 22:05:00,98200000.0,98352000.0,98200000.0,98352000.0,5.70707475,560771665.08523
2024-03-21 22:06:00,98352000.0,98369000.0,98319000.0,98319000.0,3.74994779,368810742.06686
2024-03-21 22:07:00,98319000.0,98319000.0,98250000.0,98287000.0,4.42195857,434599023.40822
2024-03-21 22:08:00,98250000.0,98370000.0,98240000.0,98362000.0,5.72921803,563347646.093
2024-03-21 22:09:00,98367000.0,98367000.0,98361000.0,98361000.0,0.37943425,37322551.74754
