,open,high,low,close,volume,value,macd,signal,result
2024-03-23 20:57:00,93769000.0,93814000.0,93742000.0,93800000.0,1.41340291,132541063.24685,6768.750656485558,14944.127428927084,Hold
2024-03-23 20:58:00,93814000.0,93823000.0,93805000.0,93823000.0,1.25122073,117387609.01285,9998.108909577131,13954.923725057095,Hold
2024-03-23 20:59:00,93822000.0,93823000.0,93800000.0,93822000.0,0.37811644,35473886.2507,12334.522254183888,13630.843430882454,Hold
2024-03-23 21:00:00,93822000.0,93823000.0,93780000.0,93800000.0,1.45868219,136837699.36946,12269.495418727398,13358.573828451445,Hold
2024-03-23 21:01:00,93795000.0,93823000.0,93790000.0,93822000.0,1.41879508,133106742.84821,13833.71091324091,13453.601245409338,Hold
2024-03-23 21:02:00,93822000.0,93823000.0,93822000.0,93822000.0,1.39023804,130435188.31425,14901.586746111512,13743.198345549774,Hold
2024-03-23 21:03:00,93823000.0,93838000.0,93823000.0,93826000.0,2.03459004,190898452.6947,15887.511267632246,14172.060929966268,Hold
2024-03-23 21:04:00,93826000.0,93851000.0,93826000.0,93828000.0,1.79966782,168868940.07504,16638.449154660106,14665.338574905036,Hold
2024-03-23 21:05:00,93828000.0,93949000.0,93828000.0,93949000.0,4.29150644,402906239.37913,26689.600500285625,17070.190959981155,Hold
2024-03-23 21:06:00,93949000.0,93973000.0,93900000.0,93971000.0,1.40085199,131620631.47995,36015.264939159155,20859.205755816754,Hold
2024-03-23 21:07:00,93973000.0,93995000.0,93971000.0,93994000.0,2.85765504,268567625.86446,44746.024656921625,25636.56953603773,Hold
2024-03-23 21:08:00,93995000.0,93998000.0,93993000.0,93994000.0,2.28279154,214570719.39473,51076.437260210514,30724.54308087229,Hold
2024-03-23 21:09:00,93994000.0,93994000.0,93980000.0,93983000.0,2.37194695,222940212.84401,54576.60169571638,35494.95480384111,Hold
2024-03-23 21:10:00,93990000.0,93991000.0,93943000.0,93975000.0,5.38240951,505863544.73766,56058.763556063175,39607.71655428552,Hold
2024-03-23 21:11:00,93973000.0,93981000.0,93933000.0,93945000.0,2.53460868,238124730.67901,54187.99277935922,42523.771799300266,Hold
2024-03-23 21:12:00,93959000.0,93959000.0,93916000.0,93919000.0,2.33697204,219536316.38674,50030.688122063875,44025.15506385299,Hold
2024-03-23 21:13:00,93919000.0,93937000.0,93916000.0,93917000.0,1.69218873,158929888.30597,46043.84614698589,44428.89328047957,Hold
2024-03-23 21:14:00,93916000.0,93917000.0,93901000.0,93915000.0,1.04120264,97782979.59506,42235.99165202677,43990.31295478901,Hold
2024-03-23 21:15:00,93913000.0,93915000.0,93900000.0,93900000.0,2.38172258,223671041.52886,37574.7268294543,42707.19572972207,Hold
2024-03-23 21:16:00,93901000.0,93913000.0,93854000.0,93854000.0,0.67126633,63021734.5088,29825.021035939455,40130.76079096555,Hold
2024-03-23 21:17:00,93854000.0,93867000.0,93840000.0,93840000.0,0.76279444,71588885.16205,22296.61882123351,36563.93239701914,Hold
2024-03-23 21:18:00,93846000.0,93946000.0,93827000.0,93935000.0,4.43739051,416587107.82395,23722.5530539155,33995.65652839842,Hold
2024-03-23 21:19:00,93935000.0,93958000.0,93880000.0,93934000.0,1.4112785,132532399.02696,24489.623429328203,32094.449908584374,Hold
2024-03-23 21:20:00,93934000.0,93934000.0,93894000.0,93929000.0,0.28744039,26998027.25993,24412.66006614268,30558.091940096034,Hold
2024-03-23 21:21:00,93928000.0,93960000.0,93928000.0,93957000.0,0.54698468,51383206.38582,26307.77241615951,29708.028035308733,Hold
2024-03-23 21:22:00,93965000.0,94058000.0,93957000.0,94058000.0,6.13069575,576266018.24996,35549.72343210876,30876.36711466874,Hold
2024-03-23 21:23:00,94060000.0,94100000.0,94044000.0,94099000.0,5.46348263,513984957.76251,45656.098462462425,33832.31338422748,Hold
2024-03-23 21:24:00,94096000.0,94123000.0,94096000.0,94119000.0,4.25754096,400668090.18873,54649.34273454547,37995.71925429108,Hold
2024-03-23 21:25:00,94119000.0,94123000.0,94016000.0,94017000.0,5.17720392,487188947.86907,52935.79516725242,40983.73443688335,Hold
2024-03-23 21:26:00,94017000.0,94090000.0,93972000.0,93992000.0,2.68989303,252859399.87537,48995.71322515607,42586.130194537895,Hold
2024-03-23 21:27:00,93992000.0,93993000.0,93967000.0,93969000.0,2.45341449,230560004.15499,43515.64089758694,42772.03233514771,Hold
2024-03-23 21:28:00,93992000.0,94084000.0,93970000.0,94072000.0,0.5279598,49649817.34799,46942.756414204836,43606.17715095914,Hold
2024-03-23 21:29:00,94013000.0,94086000.0,94012000.0,94022000.0,0.73853936,69461198.99016,45104.25425297022,43905.792571361366,Hold
2024-03-23 21:30:00,94022000.0,94023000.0,94013000.0,94022000.0,2.41946745,227473727.31226,43149.823736295104,43754.59880434812,Hold
2024-03-23 21:31:00,94022000.0,94027000.0,93993000.0,93997000.0,1.98736599,186828241.499,39132.53687867522,42830.18641921355,Hold
2024-03-23 21:32:00,93999000.0,93999000.0,93977000.0,93989000.0,0.98785343,92850521.31303,34900.95843605697,41244.340822582235,Hold
2024-03-23 21:33:00,93989000.0,93989000.0,93970000.0,93973000.0,0.70818741,66556659.19337,29911.53420394659,38977.7794988551,Hold
2024-03-23 21:34:00,93989000.0,93989000.0,93968000.0,93969000.0,0.99931862,93906174.30321,25342.48064085841,36250.71972725577,Hold
2024-03-23 21:35:00,93969000.0,93970000.0,93925000.0,93946000.0,1.76170295,165524729.0758,19639.17678782344,32928.4111393693,Hold
2024-03-23 21:36:00,93939000.0,93973000.0,93925000.0,93973000.0,4.10414424,385605449.36935,17100.81420454383,29762.89175240421,Hold
2024-03-23 21:37:00,93970000.0,93989000.0,93969000.0,93983000.0,1.49591746,140573306.06012,15714.90831501782,26953.295064926933,Hold
2024-03-23 21:38:00,93983000.0,93989000.0,93972000.0,93975000.0,1.74727488,164211856.08876,13811.820699989796,24325.000191939507,Hold
2024-03-23 21:39:00,93975000.0,93975000.0,93972000.0,93972000.0,1.39426458,131022835.19219,11924.081734359264,21844.816500423458,Hold
